age,job,marital,education,balance,housing,loan,contact,duration,campaign,poutcome,y,cluster_id_hierarchical
30,10,1,0,1787,0,0,0,79,1,3,0,6
33,7,1,1,4789,1,1,0,220,1,0,0,3
35,4,2,2,1350,1,0,0,185,1,0,0,5
30,4,1,2,1476,1,1,2,199,4,3,0,3
59,1,1,1,0,1,0,2,226,1,3,0,5
35,4,2,2,747,0,0,0,141,2,0,0,6
36,6,1,2,307,1,0,0,341,1,1,0,5
39,9,1,1,147,1,0,0,151,2,3,0,5
41,2,1,2,221,1,0,2,57,2,3,0,5
43,7,1,0,-88,1,1,0,313,1,0,0,3
39,7,1,1,9374,1,0,2,273,1,3,0,5
43,0,1,1,264,1,0,0,113,2,3,0,5
36,9,1,2,1109,0,0,0,328,2,3,0,6
20,8,2,1,502,0,0,0,261,1,3,1,2
31,1,1,1,360,1,1,0,89,1,0,0,3
40,4,1,2,194,0,1,0,189,2,3,0,4
56,9,1,1,4073,0,0,0,239,5,3,0,6
37,0,2,2,2317,1,0,0,114,1,0,0,5
25,1,2,0,-221,1,0,2,250,1,3,0,5
31,7,1,1,132,0,0,0,148,1,1,0,6
38,4,0,3,0,1,0,0,96,2,3,0,5
42,4,0,2,16,0,0,0,140,3,3,0,6
44,7,2,1,106,0,0,2,109,2,3,0,6
44,2,1,1,93,0,0,0,125,2,3,0,6
26,3,1,2,543,0,0,0,169,3,3,0,6
41,4,1,2,5883,0,0,0,182,2,3,0,6
55,1,1,0,627,1,0,2,247,1,3,0,5
67,5,1,3,696,0,0,1,119,1,0,0,6
56,6,1,1,784,0,1,0,149,2,3,0,4
53,0,1,1,105,0,1,0,74,2,3,0,4
68,5,0,1,4189,0,0,1,897,2,3,1,2
31,9,1,1,171,0,0,0,81,3,3,0,6
59,4,1,1,42,0,0,0,40,1,3,0,6
32,4,2,2,2536,1,0,0,958,6,3,1,7
49,9,1,2,1235,0,0,0,354,3,3,1,2
42,0,0,1,1811,1,0,2,150,1,3,0,5
78,5,0,0,229,0,0,1,97,1,3,1,2
32,1,1,1,2089,1,0,0,132,1,3,1,7
33,4,1,1,3935,1,0,0,765,1,0,1,7
23,7,2,2,363,1,0,2,16,18,3,0,5
38,4,2,2,11971,1,0,2,609,2,0,0,5
36,4,2,2,553,0,0,0,106,2,3,0,6
52,1,1,1,1117,1,0,0,365,1,3,0,5
32,9,1,2,396,1,0,0,205,3,3,0,5
32,9,2,2,2204,1,0,0,11,4,3,0,5
34,4,2,2,872,1,0,2,105,2,3,0,5
55,1,1,0,145,0,0,1,59,3,1,0,6
26,1,1,0,0,1,0,2,425,1,3,0,5
32,2,2,0,-849,1,1,0,204,1,3,0,3
61,0,1,3,4629,1,0,0,181,1,2,1,7
45,1,0,0,844,0,0,2,1018,3,3,1,2
37,9,2,1,228,1,0,0,1740,2,3,0,5
38,9,2,1,50,0,0,0,98,2,3,0,6
34,9,1,2,1539,1,0,0,441,1,1,1,7
53,1,1,1,2231,1,0,0,272,3,3,0,5
48,0,1,1,3064,1,0,1,159,2,3,0,5
57,4,1,1,82,0,1,1,140,1,3,0,4
33,6,2,2,2155,0,0,0,295,1,3,0,6
36,5,2,1,101,1,1,2,314,1,3,0,3
54,9,0,1,784,1,1,2,579,1,3,0,3
41,1,1,0,-516,0,1,1,554,3,3,0,4
63,5,1,1,415,1,0,0,323,1,3,0,5
48,4,1,2,5887,0,0,0,227,2,3,0,6
48,7,1,1,1355,0,0,0,134,2,3,0,6
56,0,1,1,16873,0,0,0,223,1,3,0,6
51,1,0,1,203,1,0,0,134,1,0,0,5
31,7,1,1,338,1,0,0,155,1,3,0,5
29,9,1,1,444,1,0,0,130,4,3,0,5
41,4,1,1,0,0,1,0,630,3,3,0,4
32,9,2,2,360,0,0,0,164,2,3,0,6
37,4,1,2,0,0,0,0,268,2,2,1,2
42,2,0,2,2,1,0,2,380,1,3,0,5
31,4,2,2,6248,1,0,2,154,2,3,0,5
41,7,1,2,412,1,0,2,154,5,3,0,5
56,5,1,1,344,1,0,2,221,1,3,0,5
54,4,0,2,3222,0,0,0,67,2,3,0,6
41,1,0,1,174,1,0,0,367,2,1,0,5
40,9,2,1,591,0,1,0,87,6,3,0,4
50,1,0,0,388,0,0,0,701,1,3,0,6
40,10,1,1,219,1,0,0,204,2,0,0,5
27,0,0,1,451,1,0,0,652,1,3,1,7
60,5,1,0,5,0,0,0,63,2,3,0,6
28,0,2,1,177,1,1,0,150,1,3,0,3
52,7,1,1,657,0,0,1,398,2,0,1,2
37,4,1,2,1315,0,0,0,224,1,3,1,2
51,1,1,0,1466,1,0,2,406,2,3,0,5
41,9,2,1,879,0,1,0,60,4,3,0,4
35,1,2,0,293,1,0,2,521,2,3,0,5
38,0,1,1,424,1,0,0,279,1,3,0,5
34,1,1,1,1831,1,0,2,203,2,3,0,5
39,1,1,0,111,0,0,0,201,2,3,0,6
34,1,1,0,455,1,0,2,372,3,3,0,5
27,7,2,1,-195,1,0,0,391,1,3,1,7
